Batch,LFU,LRU,Hyperbolic,ARC,Caffeine
0,7640,6966,7349,6988,7500
1,6672,7352,7806,7281,6678
2,3018,6644,7163,6779,6267
3,3463,8370,7461,8196,7517
4,2081,8359,8245,8417,7585
5,878,7425,6711,7415,5719
6,3876,8568,7986,8150,8192
7,3115,9229,7032,8566,7558
8,3063,9336,8329,9420,8943
9,2848,8264,7049,8344,8167
10,3351,9248,7949,9276,8614
11,3459,9332,8169,9303,8867
12,3243,9189,7801,9353,9065
13,2894,8512,7992,8970,8826
14,3116,8890,7687,8677,8827
15,3746,9422,7379,9472,7842
16,3111,8893,8385,8766,8818
17,4048,8836,7569,8713,8866
18,3356,9517,8126,9497,9151
19,2938,8919,8032,8896,8932
20,2910,7977,7085,7748,7987
21,2880,8044,6743,7763,7801
22,2356,7953,7627,8088,7999
23,2078,8467,7192,8419,7278
24,2015,6720,6362,7191,7222
25,1776,8513,7807,8741,8552
26,1601,9177,8555,9253,9167
27,2219,9580,7954,9577,8952
28,2602,9034,8265,9032,7346
29,1746,8565,8091,8599,8412
30,1619,9526,8331,9399,8897
31,1861,9357,8402,9291,9132
32,1592,8166,7451,8887,8778
33,1480,8406,7284,8153,8169
34,1383,8443,7855,8598,8652
35,1458,9618,8340,9610,9049
36,1491,9578,8233,9569,9115
37,1474,8809,8008,9001,8726
38,1547,8504,7814,8763,8576
39,1361,8612,7607,8512,8813
40,1472,9348,8291,9338,9350
41,1385,9084,7866,8939,8932
42,747,9300,8039,9195,8606
43,1006,9204,7691,9368,8928
44,885,9787,8009,9793,9787
45,1250,9838,8621,9835,9838
46,1219,9398,8644,9271,9392
47,1256,7976,7237,8053,8094
48,931,8790,7558,8653,8608
49,1210,8858,7818,8843,8704
50,1347,9394,8736,9386,9390
51,1434,8869,8113,8783,8881
52,962,8715,6984,8559,8276
53,1467,8600,8054,8494,8737
54,1359,8902,7435,8782,8809
55,1560,7882,7137,7876,8002
56,1411,8129,6791,8259,7884
57,1207,9297,8222,9046,8687
58,1226,7980,7569,8259,8385
59,1259,8169,8011,8395,8399
60,1753,9248,8068,9206,9224
61,1126,8308,7302,8397,8401
62,1293,8205,7989,8729,8475
63,1095,8933,7880,9102,8612
64,1310,8255,7654,8254,8203
65,1240,8939,8255,8711,8954
66,1073,9338,7902,9358,8233
67,1072,8626,7718,8547,8280
68,999,7619,7560,8368,7706
69,1280,8913,7740,8820,8904
70,709,8215,7767,8455,7943
71,462,7696,7624,7790,7968
72,501,7497,7673,7306,7804
73,639,7269,7184,7478,7241
74,883,7038,7235,7398,7242
75,548,7308,7081,7725,7272
76,305,7234,7250,7777,7116
77,165,7685,7835,7916,7649
78,111,7576,7078,7895,7474
79,140,7550,6706,7860,7162
80,241,7289,7517,7342,7362
81,484,6732,7183,7193,6826
82,405,7649,7425,7969,7615
83,301,7839,7612,8426,7676
84,112,8562,7813,8448,8130
85,64,7804,6656,7564,6435
86,141,5811,5905,6031,5994
87,153,7418,6830,7142,7046
88,288,7198,6756,7542,7036
89,326,7550,7465,8133,7935
90,381,7708,7222,7856,7729
91,412,7654,7503,8377,7878
92,379,6599,6954,6998,6959
93,377,7770,7350,7946,7558
94,1413,8948,8202,9126,8943
95,720,8165,7363,8212,8081
96,452,7547,7362,8021,7509
97,595,8323,7800,8254,8370
98,498,8529,7427,8497,8481
99,362,8539,7694,8586,8253
100,359,7480,6777,7697,7509
101,528,8815,7923,8607,8864
102,224,7967,7244,8196,8002
103,187,8393,6855,8160,7792
104,226,7467,6661,7493,7410
105,486,7712,7071,7680,7605
106,685,7447,7427,7683,7677
107,731,8560,8139,8450,8236
108,319,7683,7470,7767,7831
109,271,7351,6789,7267,7215
110,79,7440,7055,7372,7475
111,67,6964,6695,7021,6746
112,38,6652,6864,7348,6908
113,19,6585,6854,7551,7078
114,458,6885,7209,7223,7398
115,68,7030,7297,7424,7564
116,29,7232,7393,8022,7558
117,49,8172,8283,8154,8308
118,31,7644,7589,8087,7876
119,48,7394,8298,7521,8176
120,75,7029,7665,7727,7622
121,64,7109,7537,7449,7527
122,51,8137,8420,8149,8440
123,56,7248,7827,7418,7914
124,60,7518,7466,7423,7729
125,58,7408,6945,7411,7178
126,37,8368,6643,8520,7282
127,64,7570,7715,7887,7948
128,130,7912,7709,7893,7688
129,48,7652,7490,7956,7851
130,67,8573,7802,8547,8585
131,48,6531,6664,6906,6968
132,50,6555,6031,6697,6430
133,22,7207,7668,7261,7756
134,36,6262,5902,6623,6409
135,152,8102,7776,7780,8113
136,89,7392,6958,7383,7494
137,31,8020,7403,8110,7715
138,37,6182,6443,6978,6665
139,45,6852,6981,7438,7130
140,57,7426,7402,7894,7326
141,68,7877,7277,7672,7429
142,54,7932,7555,7862,7863
143,64,8087,6952,8165,7440
144,54,7276,7207,7393,7455
145,40,8827,7813,8582,8244
146,47,7232,7287,7335,7114
147,88,6594,6317,6684,7008
148,748,8769,8552,8738,8716
149,91,7189,6724,7304,7240
150,62,6606,5859,6464,6513
151,56,7208,6397,7537,6995
152,143,8577,7587,8447,8536
153,110,7106,5997,7496,6865
154,142,8320,7650,8351,8191
155,158,8419,7224,8415,8242
156,139,7020,6104,7207,7075
157,131,7222,7061,7403,7347
158,161,6894,6819,6619,7191
159,312,6303,6530,6202,6709
160,198,7626,7379,7778,7698
161,68,7474,7167,7631,7228
162,208,8345,6480,8261,7416
163,61,7378,6544,8138,6773
164,51,7041,6545,7544,7071
165,65,7317,6469,7748,6671
166,276,8497,8155,8340,8471
167,175,6475,6260,6456,6539
