Batch,LFU,LRU,Hyperbolic,ARC,Caffeine
0,3348,3337,3292,3424,3217
1,3376,3310,3630,3858,3644
2,3021,3200,3473,3616,3625
3,2503,3114,3565,3707,3513
4,3050,3652,3792,4063,3835
5,3032,3269,3592,3730,3724
6,2975,3319,3684,3925,3905
7,2740,2970,3411,3604,3711
8,3155,3351,3763,4013,4184
9,3198,3305,3781,4090,4173
10,2848,2869,3446,3577,3765
11,3433,3385,4033,4345,4469
12,3095,3504,3923,3950,4015
13,2580,2819,3214,3385,3460
14,2956,3137,3542,3633,3883
15,3287,3450,3920,4145,4172
16,2946,3521,3931,4035,4031
17,3356,3307,3851,4052,4213
18,2681,2602,3093,3288,3575
19,3218,3567,4085,4338,4500
20,2926,2789,3295,3550,3598
21,3059,3150,3702,3778,4027
22,3254,3782,4340,4463,4716
23,2847,2978,3465,3664,3946
24,3189,3118,3731,4042,4215
25,2998,3015,3530,3797,3964
26,3014,3249,3880,3964,4211
27,3310,3194,3769,4007,4086
28,3391,3216,3933,4220,4295
29,3353,3643,4195,4427,4419
30,2807,2925,3545,3673,3858
31,3260,3587,3983,4107,4358
32,3137,3616,4073,4216,4362
33,3322,3552,3853,4054,4264
34,2911,2892,3542,3754,3970
35,3338,3446,3881,4166,4309
36,3333,3522,4003,4378,4310
37,3395,3532,4079,4281,4388
38,3009,3655,4146,4325,4422
39,3167,3274,3767,3997,4031
40,3096,3700,4089,4251,4277
41,2978,3484,4154,4468,4481
42,3029,3656,4158,4394,4362
43,2916,3087,3408,3614,3718
44,3194,3215,3624,3901,3899
45,3183,3610,4040,4124,4154
46,3128,3177,3515,3658,3870
47,3346,3416,3937,4226,4430
48,3114,3394,3928,4157,4290
49,3253,3082,3768,3862,4009
50,3411,3594,4197,4362,4480
51,2843,3366,3916,4036,4170
52,2889,3366,3807,3958,4096
53,3568,3560,4183,4367,4542
54,3007,3122,3581,3635,3922
55,2577,3022,3560,3648,4005
56,2956,3320,3771,3812,3805
57,3609,3750,3998,4267,4206
58,3008,2998,3448,3683,3828
59,3119,3237,3632,3808,4012
60,2935,2985,3416,3563,3769
61,2921,3523,4284,4507,4363
62,3039,3649,3945,4024,4207
63,3308,3150,3416,3609,3940
64,3181,3824,4361,4562,4746
65,3487,3590,4012,4181,4435
66,3439,3832,4487,4505,4722
67,2824,3188,3724,3728,3992
68,2937,3215,3604,3792,3865
69,3450,3741,4001,4429,4514
70,3315,3607,4073,4284,4364
71,3532,3477,3796,3968,4154
72,3897,3990,4475,4707,4778
73,3655,3571,4235,4554,4534
74,3615,3619,4270,4620,4552
75,3177,3345,4050,4295,4305
76,3425,3323,3920,4179,4083
77,3037,3159,3750,3809,3993
78,3446,3116,3665,3868,4016
79,3144,3219,3850,3925,3994
80,3215,3202,3689,3961,4027
81,3584,3491,4143,4292,4458
82,3402,3550,4083,4335,4391
83,2981,3556,3937,3989,4180
84,3529,3560,3998,4196,4441
85,3083,3085,3760,3935,4176
86,3452,3380,3985,4223,4383
87,3051,3217,3783,3854,4046
88,2832,3431,3949,4025,4044
89,3046,2926,3361,3562,3740
90,2968,2970,3503,3771,3806
91,2964,3138,3722,3876,3984
92,3355,3420,3891,4108,4150
93,3385,3534,3965,4185,4313
94,3258,3340,3858,3974,3997
95,3381,3544,4174,4298,4358
96,3181,3297,3873,4125,4065
97,3088,3351,3755,3807,4074
