Batch,LFU,LRU,Hyperbolic,ARC,Caffeine
0,5036,4874,5020,5046,5048
1,5462,5055,5459,5502,5555
2,5475,4938,5445,5547,5585
3,5667,5133,5659,5749,5802
4,5660,5072,5634,5734,5738
5,5493,4863,5462,5587,5617
6,5614,4914,5566,5708,5737
7,5569,4873,5507,5678,5682
8,5626,4895,5550,5741,5709
9,5667,4981,5616,5807,5720
10,5661,4911,5583,5784,5677
11,5676,4967,5599,5800,5693
12,5631,4900,5541,5754,5631
13,5719,5028,5630,5828,5736
14,5763,4986,5626,5868,5763
15,5812,5031,5664,5907,5776
16,5843,5066,5708,5944,5782
17,5617,4862,5490,5730,5548
18,5827,5037,5665,5916,5729
19,5772,5013,5638,5880,5680
20,5787,4984,5603,5868,5655
21,5834,5044,5663,5888,5701
22,5806,5044,5653,5872,5701
23,5902,5040,5712,5962,5793
24,5858,5069,5711,5940,5766
25,5801,4997,5637,5878,5705
26,5819,5028,5656,5901,5716
27,5781,4985,5618,5859,5660
28,5742,4947,5569,5814,5625
29,5805,4946,5603,5861,5679
30,5980,5188,5810,6051,5814
31,5855,5061,5673,5909,5674
32,5801,4971,5618,5859,5616
33,5873,5040,5676,5932,5664
34,5817,4961,5621,5884,5619
35,5857,5050,5689,5921,5675
36,5975,5163,5783,6017,5764
37,5878,5053,5710,5943,5670
38,5909,5094,5719,5959,5716
39,5940,5118,5743,6013,5758
40,5820,4985,5624,5865,5625
41,5766,4941,5615,5843,5604
42,5785,4965,5602,5839,5571
43,5855,5043,5670,5929,5661
44,5821,5026,5646,5863,5637
45,5861,5075,5701,5897,5661
46,5942,5115,5759,5975,5740
47,5962,5148,5761,6010,5733
48,5830,4982,5623,5867,5597
49,5825,5025,5658,5902,5626
50,5868,5058,5692,5927,5660
51,5867,5024,5645,5930,5611
52,5787,4969,5625,5841,5600
53,5798,4976,5643,5879,5635
54,5783,4902,5572,5840,5536
55,5753,4917,5567,5783,5520
56,5725,4949,5582,5793,5518
57,5741,4919,5567,5824,5489
58,5874,5061,5671,5903,5632
59,5856,5033,5657,5925,5626
60,5831,5007,5627,5891,5591
61,5823,4994,5631,5876,5563
62,5853,5027,5686,5920,5636
63,5866,5022,5686,5916,5613
64,5794,4939,5579,5837,5557
65,5710,4901,5558,5771,5499
66,5852,5025,5653,5895,5613
67,5788,4938,5599,5832,5547
68,5721,4871,5525,5756,5473
69,5681,4866,5536,5754,5480
70,5799,4940,5577,5852,5524
71,5742,4903,5516,5765,5450
72,5842,4979,5637,5902,5563
73,5779,4940,5563,5810,5502
74,5743,4922,5535,5809,5485
75,5906,5070,5706,5956,5667
76,5736,4893,5533,5795,5512
77,5812,5036,5621,5833,5598
78,5904,5029,5692,5948,5653
79,5769,4978,5592,5837,5528
80,5749,4925,5556,5800,5470
81,5736,4920,5569,5803,5512
82,5840,5058,5679,5906,5615
83,5846,5044,5648,5900,5593
84,5766,4965,5603,5835,5499
85,5819,5018,5643,5858,5553
86,5717,4924,5542,5765,5443
87,5858,5046,5699,5912,5580
88,5897,5095,5725,5954,5614
89,5943,5144,5770,5995,5667
90,5672,4937,5546,5746,5453
91,5852,5035,5662,5917,5551
92,5858,5040,5671,5915,5603
93,5830,4971,5652,5881,5570
94,5767,4925,5603,5830,5534
95,5748,4902,5568,5802,5498
96,5859,5030,5642,5922,5564
97,5824,4999,5665,5893,5568
98,5832,5024,5651,5889,5571
99,5755,4913,5558,5790,5478
100,5736,4925,5569,5794,5473
101,5764,4939,5603,5827,5495
102,5791,4991,5618,5836,5548
103,5878,5042,5675,5929,5600
104,5803,4946,5599,5844,5507
105,5870,5030,5648,5905,5569
106,5831,4996,5634,5884,5553
107,5762,4915,5567,5817,5463
108,5946,5100,5739,5988,5625
109,5870,5065,5693,5937,5586
110,5760,4910,5554,5793,5454
111,5791,4997,5603,5840,5512
112,5908,5092,5697,5948,5606
113,5887,5127,5752,5940,5653
114,5726,4868,5553,5781,5437
115,5811,4958,5617,5848,5534
116,5798,4984,5613,5834,5551
117,5799,4937,5580,5837,5516
118,5800,4953,5593,5847,5524
119,5824,5004,5639,5864,5547
120,5921,5094,5707,5958,5632
121,5787,4973,5622,5839,5547
122,5738,4874,5525,5782,5451
123,5800,5031,5626,5842,5576
124,5831,5017,5649,5881,5587
125,5738,4941,5568,5777,5491
126,5873,5057,5701,5930,5629
127,5806,5020,5599,5861,5544
128,5687,4895,5507,5703,5444
129,5732,4900,5527,5772,5461
130,5840,5048,5653,5873,5596
131,5842,5015,5665,5877,5583
132,5798,4972,5612,5877,5535
133,5854,5069,5662,5897,5594
134,5898,5097,5724,5958,5661
135,5803,5045,5630,5858,5558
136,5817,4986,5650,5871,5575
137,5846,5102,5663,5896,5605
138,5827,5048,5638,5849,5559
139,5852,5064,5670,5882,5616
